timestamp;nbExecutors
1;2.0
515;2.0
389;2.0
263;2.0
138;2.0
12;2.0
525;2.0
399;2.0
273;2.0
148;2.0
22;2.0
410;2.0
284;2.0
159;2.0
33;2.0
420;2.0
294;2.0
169;2.0
43;2.0
431;2.0
305;2.0
180;2.0
54;2.0
441;2.0
315;2.0
190;2.0
64;2.0
452;2.0
326;2.0
200;2.0
75;2.0
462;2.0
336;2.0
211;2.0
85;2.0
473;2.0
347;2.0
221;2.0
96;2.0
483;2.0
357;2.0
232;2.0
106;2.0
494;2.0
368;2.0
242;2.0
117;2.0
504;2.0
378;2.0
252;2.0
127;2.0
timestamp;nbExecutors
1;2.0
321;4.0
259;4.0
197;4.0
135;4.0
73;4.0
393;4.0
11;2.0
331;4.0
269;4.0
207;4.0
145;4.0
83;4.0
403;4.0
21;2.0
341;4.0
279;4.0
217;4.0
156;4.0
413;4.0
94;4.0
351;4.0
32;2.0
290;4.0
228;4.0
166;4.0
104;4.0
424;4.0
42;2.0
362;4.0
300;4.0
238;4.0
176;4.0
114;4.0
434;4.0
52;1.0
372;4.0
310;4.0
248;4.0
187;4.0
444;4.0
125;4.0
382;4.0
63;4.0
timestamp;nbExecutors
64;2.0
1;2.0
451;2.0
388;2.0
326;2.0
263;2.0
201;2.0
138;2.0
75;2.0
12;2.0
399;2.0
336;2.0
274;2.0
211;2.0
148;2.0
85;2.0
22;2.0
409;2.0
346;2.0
284;2.0
221;2.0
159;2.0
96;2.0
33;2.0
420;2.0
357;2.0
294;2.0
232;2.0
169;2.0
106;2.0
43;2.0
430;2.0
367;2.0
305;2.0
242;2.0
180;2.0
117;2.0
54;2.0
441;2.0
378;2.0
315;2.0
253;2.0
190;2.0
127;2.0
timestamp;nbExecutors
1;2.0
258;2.0
516;1.0
134;2.0
392;2.0
11;2.0
268;2.0
145;2.0
402;2.0
21;2.0
278;2.0
155;2.0
412;2.0
32;2.0
289;2.0
165;2.0
423;2.0
42;2.0
299;2.0
176;2.0
433;1.0
52;2.0
309;2.0
186;2.0
443;1.0
62;2.0
320;2.0
196;2.0
454;1.0
73;2.0
330;2.0
206;2.0
464;1.0
83;2.0
340;2.0
217;2.0
474;1.0
93;2.0
351;2.0
227;2.0
485;1.0
103;2.0
361;2.0
237;2.0
495;1.0
114;2.0
371;2.0
248;2.0
505;1.0
124;2.0
381;2.0
